starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 09:37:00,2022-01-31 09:42:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Thursday,04/15/2021,04/15/2021,0 days 00:05:00
2022-01-31 14:05:00,2022-01-31 14:26:00,Fairmount Ave,Columbus Dr at Exchange Pl,40.725726,-74.071959,40.71687,-74.03281,member,Wednesday,04/28/2021,04/28/2021,0 days 00:21:00
2022-01-31 08:30:00,2022-01-31 08:40:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726012,-74.050389,40.71687,-74.03281,member,Tuesday,04/06/2021,04/06/2021,0 days 00:10:00
2022-01-31 19:10:00,2022-01-31 19:21:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,casual,Tuesday,04/27/2021,04/27/2021,0 days 00:11:00
2022-01-31 09:28:00,2022-01-31 09:43:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Wednesday,04/28/2021,04/28/2021,0 days 00:15:00
2022-01-31 12:37:00,2022-01-31 12:43:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718488,-74.047726,40.71687,-74.03281,member,Thursday,04/08/2021,04/08/2021,0 days 00:06:00
2022-01-31 16:04:00,2022-01-31 16:10:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718489,-74.047727,40.71687,-74.03281,member,Sunday,04/04/2021,04/04/2021,0 days 00:06:00
2022-01-31 07:57:00,2022-01-31 08:05:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718489,-74.047727,40.71687,-74.03281,member,Tuesday,04/06/2021,04/06/2021,0 days 00:08:00
2022-01-31 14:05:00,2022-01-31 14:12:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718488,-74.047726,40.71687,-74.03281,member,Saturday,04/24/2021,04/24/2021,0 days 00:07:00
2022-01-31 07:35:00,2022-01-31 07:42:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Tuesday,04/06/2021,04/06/2021,0 days 00:07:00
2022-01-31 16:43:00,2022-01-31 16:54:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Saturday,04/17/2021,04/17/2021,0 days 00:11:00
2022-01-31 08:31:00,2022-01-31 08:45:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Tuesday,04/06/2021,04/06/2021,0 days 00:14:00
2022-01-31 12:25:00,2022-01-31 12:34:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,casual,Monday,04/19/2021,04/19/2021,0 days 00:09:00
2022-01-31 18:03:00,2022-01-31 18:12:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718489,-74.047727,40.71687,-74.03281,member,Tuesday,04/27/2021,04/27/2021,0 days 00:09:00
2022-01-31 18:42:00,2022-01-31 18:45:00,Van Vorst Park,Van Vorst Park,40.718488,-74.047726,40.71848892,-74.047726625,member,Thursday,04/22/2021,04/22/2021,0 days 00:03:00
2022-01-31 17:54:00,2022-01-31 18:11:00,Van Vorst Park,Van Vorst Park,40.718488,-74.047726,40.71848892,-74.047726625,member,Friday,04/09/2021,04/09/2021,0 days 00:17:00
2022-01-31 08:23:00,2022-01-31 08:35:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726012,-74.050389,40.71687,-74.03281,member,Thursday,04/08/2021,04/08/2021,0 days 00:12:00
2022-01-31 20:04:00,2022-01-31 20:26:00,Van Vorst Park,Columbus Dr at Exchange Pl,40.718488,-74.047726,40.71687,-74.03281,member,Saturday,04/03/2021,04/03/2021,0 days 00:22:00
2022-01-31 15:37:00,2022-01-31 16:07:00,Brunswick & 6th,Columbus Dr at Exchange Pl,40.726011,-74.050388,40.71687,-74.03281,member,Saturday,04/24/2021,04/24/2021,0 days 00:30:00
2022-01-31 14:15:00,2022-01-31 14:24:00,Van Vorst Park,Paulus Hook,40.718488,-74.047726,40.7141454,-74.0335519,member,Saturday,04/10/2021,04/10/2021,0 days 00:09:00
2022-01-31 09:03:00,2022-01-31 09:09:00,Van Vorst Park,Paulus Hook,40.718488,-74.047726,40.7141454,-74.0335519,member,Friday,04/30/2021,04/30/2021,0 days 00:06:00
2022-01-31 08:42:00,2022-01-31 08:50:00,Brunswick & 6th,Paulus Hook,40.726011,-74.050388,40.7141454,-74.0335519,member,Monday,04/12/2021,04/12/2021,0 days 00:08:00
2022-01-31 22:19:00,2022-01-31 22:24:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Sunday,04/18/2021,04/18/2021,0 days 00:05:00
2022-01-31 22:20:00,2022-01-31 22:25:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/23/2021,04/23/2021,0 days 00:05:00
